step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,px4_collective_command_newton,px4_collective_normalized,px4_thrust_body_z,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1774971497980933233,0.0,0,0.0,50.88185699969472,9.779561085687348,0.1577348562207637,-0.1577348562207637,0.03765818104147911,0.023434551432728767,-0.015344321727752686,0.023989753797650337,-0.0016616302309557796,0.011267962865531445,0.9946253239588793,-0.10353849795510062,-0.0007093003811571678,0.10353852043856637,0.9946255745184011,-5.047089920343084e-06,0.0007060107838697122,-6.841985739565806e-05,0.999999748433746,-0.0005808816058561206,0.0003018727293238044,0.0005145641625858843,0.03765818104147911,0.023434551432728767,-0.015344321727752686,0.023989753797650337,-0.0016616302309557796,0.011267962865531445,0.9946253239588793,-0.10353849795510062,-0.0007093003811571678,0.10353852043856637,0.9946255745184011,-5.047089920343084e-06,0.0007060107838697122,-6.841985739565806e-05,0.999999748433746,-0.0005808816058561206,0.0003018727293238044,0.0005145641625858843,9.779561085687348,-0.0008620035861906572,-0.00616988722601793,0.0017070396223965534,9.779561085687348,-0.0008620035861906572,-0.00616988722601793,0.0017070396223965534,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
1,1774971498040842809,0.059909576,59,59.909576,18.94469600119919,9.779561085687348,0.1577348562207637,-0.1577348562207637,0.03765818104147911,0.023434551432728767,-0.015344321727752686,0.023989753797650337,-0.0016616302309557796,0.011267962865531445,0.9946253239588793,-0.10353849795510062,-0.0007093003811571678,0.10353852043856637,0.9946255745184011,-5.047089920343084e-06,0.0007060107838697122,-6.841985739565806e-05,0.999999748433746,-0.0005808816058561206,0.0003018727293238044,0.0005145641625858843,0.03765818104147911,0.023434551432728767,-0.015344321727752686,0.023989753797650337,-0.0016616302309557796,0.011267962865531445,0.9946253239588793,-0.10353849795510062,-0.0007093003811571678,0.10353852043856637,0.9946255745184011,-5.047089920343084e-06,0.0007060107838697122,-6.841985739565806e-05,0.999999748433746,-0.0005808816058561206,0.0003018727293238044,0.0005145641625858843,9.779561085687348,-0.0008620035861906572,-0.00616988722601793,0.0017070396223965534,9.779561085687348,-0.0008620035861906572,-0.00616988722601793,0.0017070396223965534,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
2,1774971498063511564,0.082578331,82,22.668755,20.89679900018382,9.143010203408036,0.14746790650658123,-0.14746790650658123,0.03753792494535446,0.023485351353883743,-0.01518501341342926,0.02384665235877037,-0.0016872963169589639,0.011352772824466228,0.9946247010177517,-0.10354398509467688,-0.0007033802089167936,0.10354400932674124,0.9946249472018606,-1.9748315368047636e-06,0.0006998039381942208,-7.086653895379755e-05,0.9999997526261768,-0.000471720180939883,0.0005822886014357209,-0.0002572927041910589,0.03753792494535446,0.023485351353883743,-0.01518501341342926,0.02384665235877037,-0.0016872963169589639,0.011352772824466228,0.9946247010177517,-0.10354398509467688,-0.0007033802089167936,0.10354400932674124,0.9946249472018606,-1.9748315368047636e-06,0.0006998039381942208,-7.086653895379755e-05,0.9999997526261768,-0.000471720180939883,0.0005822886014357209,-0.0002572927041910589,9.143010203408036,-0.0003596516036394845,-0.00659920713312155,0.002843855111763707,9.143010203408036,-0.0003596516036394845,-0.00659920713312155,0.002843855111763707,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
3,1774971498089791300,0.108858067,108,26.279736,14.077605999773368,7.983429321182886,0.12876498905133688,-0.12876498905133688,0.03731008619070053,0.02358091250061989,-0.014869406819343567,0.02342844195663929,-0.0017496573273092508,0.011456828564405441,0.9946231435888884,-0.10355955965161168,-0.0006789656322342772,0.10355958771858553,0.9946233723903297,6.217561051119827e-06,0.000674671125949473,-7.64974485246827e-05,0.9999997694835047,-0.0008152236114256084,0.00015987124061211944,0.0004485432873480022,0.03731008619070053,0.02358091250061989,-0.014869406819343567,0.02342844195663929,-0.0017496573273092508,0.011456828564405441,0.9946231435888884,-0.10355955965161168,-0.0006789656322342772,0.10355958771858553,0.9946233723903297,6.217561051119827e-06,0.000674671125949473,-7.64974485246827e-05,0.9999997694835047,-0.0008152236114256084,0.00015987124061211944,0.0004485432873480022,7.983429321182886,-0.0005206229473870919,-0.006325974687577958,0.001587823304761055,7.983429321182886,-0.0005206229473870919,-0.006325974687577958,0.001587823304761055,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
4,1774971498108915841,0.127982608,127,19.124541,16.676852999808034,6.888284571599479,0.11110136405805612,-0.11110136405805612,0.037051428109407425,0.02369627170264721,-0.014570996165275574,0.023010151460766792,-0.001797670149244368,0.01149167399853468,0.9946217415436662,-0.10357194797043867,-0.0006595525011340655,0.10357198083358798,0.9946219566773082,1.577522874767097e-05,0.0006543715303045632,-8.400154713519847e-05,0.9999997823707958,0.0003797461395151913,-9.350448090117425e-05,-0.0005391484592109919,0.037051428109407425,0.02369627170264721,-0.014570996165275574,0.023010151460766792,-0.001797670149244368,0.01149167399853468,0.9946217415436662,-0.10357194797043867,-0.0006595525011340655,0.10357198083358798,0.9946219566773082,1.577522874767097e-05,0.0006543715303045632,-8.400154713519847e-05,0.9999997823707958,0.0003797461395151913,-9.350448090117425e-05,-0.0005391484592109919,6.888284571599479,-0.0011775744863147535,-0.0061945777277334834,0.0038853838082671312,6.888284571599479,-0.0011775744863147535,-0.0061945777277334834,0.0038853838082671312,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
5,1774971498130155302,0.149222069,149,21.239461,14.859487999274279,5.305467881131136,0.08557206259888929,-0.08557206259888929,0.03662606701254845,0.02389485202729702,-0.014127880334854126,0.022380756214261055,-0.0017887139692902565,0.011636813171207905,0.9946216553661612,-0.10357388416702529,-0.0006299529139986628,0.10357392207679617,0.9946218505241108,2.77681522666412e-05,0.0006236888280945069,-9.286543945844807e-05,0.9999998011941247,-0.0003074460255447775,0.0007097197812981904,-0.0007183368434198201,0.03662606701254845,0.02389485202729702,-0.014127880334854126,0.022380756214261055,-0.0017887139692902565,0.011636813171207905,0.9946216553661612,-0.10357388416702529,-0.0006299529139986628,0.10357392207679617,0.9946218505241108,2.77681522666412e-05,0.0006236888280945069,-9.286543945844807e-05,0.9999998011941247,-0.0003074460255447775,0.0007097197812981904,-0.0007183368434198201,5.305467881131136,-0.0001611989369685208,-0.007395604816655331,0.003577155148410848,5.305467881131136,-0.0001611989369685208,-0.007395604816655331,0.003577155148410848,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
6,1774971498149490982,0.168557749,168,19.33568,18.67981199939095,4.260684137250141,0.06872071189113131,-0.06872071189113131,0.03632260859012604,0.024044260382652283,-0.013837739825248718,0.02188601903617382,-0.0018203264335170388,0.011692230589687824,0.9946201037816444,-0.10358928335740769,-0.0006127595721044654,0.10358932875088933,0.9946202868888014,4.2726957895207474e-05,0.0006050369786981258,-0.0001059723574545271,0.9999998113500619,0.00045668912935070693,0.0005050020990893245,-0.0004243574512656778,0.03632260859012604,0.024044260382652283,-0.013837739825248718,0.02188601903617382,-0.0018203264335170388,0.011692230589687824,0.9946201037816444,-0.10358928335740769,-0.0006127595721044654,0.10358932875088933,0.9946202868888014,4.2726957895207474e-05,0.0006050369786981258,-0.0001059723574545271,0.9999998113500619,0.00045668912935070693,0.0005050020990893245,-0.0004243574512656778,4.260684137250141,-0.001328361140789027,-0.007315760838393847,0.003777432580801495,4.260684137250141,-0.001328361140789027,-0.007315760838393847,0.003777432580801495,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
7,1774971498174158955,0.193225722,193,24.667973,18.310809000467998,2.7628849215471503,0.044562660024954036,-0.044562660024954036,0.03583735227584839,0.024290872737765312,-0.013419657945632935,0.02120332606136799,-0.0017583173466846347,0.011806145310401917,0.9946193031395243,-0.10359671014236138,-0.0005843656794753665,0.1035967626477503,0.9946194675125692,6.02266374430966e-05,0.0005749821579345959,-0.0001204409119165261,0.9999998274447515,0.0002188089129049331,0.0009711314341984689,-0.0008655976271256804,0.03583735227584839,0.024290872737765312,-0.013419657945632935,0.02120332606136799,-0.0017583173466846347,0.011806145310401917,0.9946193031395243,-0.10359671014236138,-0.0005843656794753665,0.1035967626477503,0.9946194675125692,6.02266374430966e-05,0.0005749821579345959,-0.0001204409119165261,0.9999998274447515,0.0002188089129049331,0.0009711314341984689,-0.0008655976271256804,2.7628849215471503,-0.0006551850047373487,-0.00810570277312527,0.0041813019464308114,2.7628849215471503,-0.0006551850047373487,-0.00810570277312527,0.0041813019464308114,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
8,1774971498196600003,0.21566677,215,22.441048,16.73178799865127,2.0504360985945764,0.03307154997733188,-0.03307154997733188,0.03542660176753998,0.0244777612388134,-0.013224691152572632,0.020610667765140533,-0.0017285383073613048,0.011824918910861015,0.9946196460124683,-0.10359351269209971,-0.0005578785084111061,0.1035935702122941,0.9946197936394283,7.513738287126363e-05,0.0005470932257050382,-0.00013252569124286642,0.9999998415629713,0.0005825157277286053,-0.0005383193492889404,0.0005293980939313769,0.03542660176753998,0.0244777612388134,-0.013224691152572632,0.020610667765140533,-0.0017285383073613048,0.011824918910861015,0.9946196460124683,-0.10359351269209971,-0.0005578785084111061,0.1035935702122941,0.9946197936394283,7.513738287126363e-05,0.0005470932257050382,-0.00013252569124286642,0.9999998415629713,0.0005825157277286053,-0.0005383193492889404,0.0005293980939313769,2.0504360985945764,-0.0022652153337151767,-0.006494031151783986,0.0025446702340351695,2.0504360985945764,-0.0022652153337151767,-0.006494031151783986,0.0025446702340351695,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
9,1774971498215202460,0.234269227,234,18.602457,17.48677900104667,1.216801684973122,0.01962583362859874,-0.01962583362859874,0.03480565547943115,0.024754013866186142,-0.0129614919424057,0.019765764474868774,-0.0017376822652295232,0.01182396337389946,0.9946213804299999,-0.10357667228858203,-0.0004891074030864747,0.10357672567691978,0.9946214914940343,8.504786830515823e-05,0.0004776677494923755,-0.00013525055545962096,0.9999998767703997,5.6810593378031626e-05,-0.00012576201697811484,0.0005113717052154243,0.03480565547943115,0.024754013866186142,-0.0129614919424057,0.019765764474868774,-0.0017376822652295232,0.01182396337389946,0.9946213804299999,-0.10357667228858203,-0.0004891074030864747,0.10357672567691978,0.9946214914940343,8.504786830515823e-05,0.0004776677494923755,-0.00013525055545962096,0.9999998767703997,5.6810593378031626e-05,-0.00012576201697811484,0.0005113717052154243,1.216801684973122,-0.0015906215565166546,-0.007117958531496469,0.002161090943336421,1.216801684973122,-0.0015906215565166546,-0.007117958531496469,0.002161090943336421,0.039389412850141525,0.02276165783405304,-0.02185402810573578,0.0,0.0,0.0,0.994644026297375,-0.10335614315568153,-0.0010099289018830372,0.10335598908781152,0.994644534170182,-0.00020371176897207924,0.0010255749849052385,9.823859736901239e-05,0.9999994692724837,0.0,0.0,0.0
