step,timestamp_ns,experiment_time_s,reference_index,tick_dt_ms,solver_ms,px4_collective_command_newton,px4_collective_normalized,px4_thrust_body_z,state_raw_0,state_raw_1,state_raw_2,state_raw_3,state_raw_4,state_raw_5,state_raw_6,state_raw_7,state_raw_8,state_raw_9,state_raw_10,state_raw_11,state_raw_12,state_raw_13,state_raw_14,state_raw_15,state_raw_16,state_raw_17,state_used_0,state_used_1,state_used_2,state_used_3,state_used_4,state_used_5,state_used_6,state_used_7,state_used_8,state_used_9,state_used_10,state_used_11,state_used_12,state_used_13,state_used_14,state_used_15,state_used_16,state_used_17,control_raw_0,control_raw_1,control_raw_2,control_raw_3,control_internal_0,control_internal_1,control_internal_2,control_internal_3,control_used_0,control_used_1,control_used_2,control_used_3,reference_0,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,reference_11,reference_12,reference_13,reference_14,reference_15,reference_16,reference_17
0,1775231597321648806,0.0,0,0.0,40.2181059907889,49.127228500817594,0.7923746532389935,-0.7923746532389935,-0.02655678614974022,-0.0370749831199646,0.01176975667476654,-0.019454166293144226,-0.018570609390735626,-0.013768966309726238,0.9944523450439149,-0.10518719238956464,0.0006151607552860941,0.10518617747728665,0.9944515136248058,0.0014985145212789396,-0.0007693718840814691,-0.0014254948015734528,0.9999986880149897,6.946886423975229e-05,-0.0008392691961489618,0.0004178662202320993,-0.02655678614974022,-0.0370749831199646,0.01176975667476654,-0.019454166293144226,-0.018570609390735626,-0.013768966309726238,0.9944523450439149,-0.10518719238956464,0.0006151607552860941,0.10518617747728665,0.9944515136248058,0.0014985145212789396,-0.0007693718840814691,-0.0014254948015734528,0.9999986880149897,6.946886423975229e-05,-0.0008392691961489618,0.0004178662202320993,49.127228500817594,-0.0003188077348332501,0.0006370757908421003,-0.0028986745103005028,-0.260595682435863,-0.012081996864046849,0.005390815331797085,0.0004489820199445936,49.127228500817594,-0.0003188077348332501,0.0006370757908421003,-0.0028986745103005028,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
1,1775231597363716157,0.042067351,42,42.067351,7.814769996912219,48.45326154879257,0.7815042185289124,-0.7815042185289124,-0.02655678614974022,-0.0370749831199646,0.01176975667476654,-0.019454166293144226,-0.018570609390735626,-0.013768966309726238,0.9944523450439149,-0.10518719238956464,0.0006151607552860941,0.10518617747728665,0.9944515136248058,0.0014985145212789396,-0.0007693718840814691,-0.0014254948015734528,0.9999986880149897,6.946886423975229e-05,-0.0008392691961489618,0.0004178662202320993,-0.02655678614974022,-0.0370749831199646,0.01176975667476654,-0.019454166293144226,-0.018570609390735626,-0.013768966309726238,0.9944523450439149,-0.10518719238956464,0.0006151607552860941,0.10518617747728665,0.9944515136248058,0.0014985145212789396,-0.0007693718840814691,-0.0014254948015734528,0.9999986880149897,6.946886423975229e-05,-0.0008392691961489618,0.0004178662202320993,48.45326154879257,-0.00031465998123375214,0.00073030998873333,-0.002908589760783798,-0.4346193002598214,-0.011972697963985184,0.007190936272894674,0.00028612682451527397,48.45326154879257,-0.00031465998123375214,0.00073030998873333,-0.002908589760783798,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
2,1775231597381865002,0.060216196,60,18.148845,6.072030999348499,48.018593251236574,0.7744934395360737,-0.7744934395360737,-0.026346631348133087,-0.037561651319265366,0.011868894100189209,-0.01927376724779606,-0.01811293326318264,-0.013408604077994823,0.9944483074515227,-0.10522417617192437,0.0006336034668590097,0.10522318865232805,0.9944475855738069,0.0014300398265128592,-0.0007805602355717908,-0.0013554309194026802,0.9999987767656031,-0.0004766073252540082,-0.00039384682895615697,-0.0002831199672073126,-0.026346631348133087,-0.037561651319265366,0.011868894100189209,-0.01927376724779606,-0.01811293326318264,-0.013408604077994823,0.9944483074515227,-0.10522417617192437,0.0006336034668590097,0.10522318865232805,0.9944475855738069,0.0014300398265128592,-0.0007805602355717908,-0.0013554309194026802,0.9999987767656031,-0.0004766073252540082,-0.00039384682895615697,-0.0002831199672073126,48.018593251236574,-0.00023089229748551694,0.0007728957868000728,-0.0029049397086400525,-0.5468541056412967,-0.009765306547218343,0.008013162329719133,0.0003460779025236802,48.018593251236574,-0.00023089229748551694,0.0007728957868000728,-0.0029049397086400525,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
3,1775231597401977383,0.080328577,80,20.112381,7.1054200088838115,47.670958642902,0.7688864297242258,-0.7688864297242258,-0.026228252798318863,-0.03772968426346779,0.011896103620529175,-0.0192758459597826,-0.01783926971256733,-0.013277622871100903,0.99444757822675,-0.1052310703735928,0.0006510779327000837,0.10523008470938078,0.9944469130352377,0.0013979779140269356,-0.0007945731645572461,-0.0013217027686744098,0.9999988108769252,0.0007379228482022882,-0.0007532896706834435,0.0005271539557725191,-0.026228252798318863,-0.03772968426346779,0.011896103620529175,-0.0192758459597826,-0.01783926971256733,-0.013277622871100903,0.99444757822675,-0.1052310703735928,0.0006510779327000837,0.10523008470938078,0.9944469130352377,0.0013979779140269356,-0.0007945731645572461,-0.0013217027686744098,0.9999988108769252,0.0007379228482022882,-0.0007532896706834435,0.0005271539557725191,47.670958642902,-0.00026729176300242417,0.0008699346963435136,-0.002924021159703621,-0.6366161214811342,-0.01072448154360965,0.009886742809000057,3.267044526700873e-05,47.670958642902,-0.00026729176300242417,0.0008699346963435136,-0.002924021159703621,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
4,1775231597421499173,0.099850367,99,19.52179,7.283828992513008,47.479812497293764,0.7658034273757058,-0.7658034273757058,-0.026144616305828094,-0.03783469647169113,0.011891081929206848,-0.019248373806476593,-0.017739759758114815,-0.01326875202357769,0.994447238528716,-0.10523389210976064,0.0006631405908893648,0.10523290959543075,0.994446614013901,0.0013742764777732851,-0.0008040784546618374,-0.0012968612568022356,0.9999988358036409,-3.21057450491935e-05,-0.0009881454752758145,0.0003416325489524752,-0.026144616305828094,-0.03783469647169113,0.011891081929206848,-0.019248373806476593,-0.017739759758114815,-0.01326875202357769,0.994447238528716,-0.10523389210976064,0.0006631405908893648,0.10523290959543075,0.994446614013901,0.0013742764777732851,-0.0008040784546618374,-0.0012968612568022356,0.9999988358036409,-3.21057450491935e-05,-0.0009881454752758145,0.0003416325489524752,47.479812497293764,-0.00021734715342905454,0.0009473111140368958,-0.0029286004914412613,-0.6859715738395981,-0.009408373737437322,0.011380689375682257,-4.254378823375076e-05,47.479812497293764,-0.00021734715342905454,0.0009473111140368958,-0.0029286004914412613,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
5,1775231597441535638,0.119886832,119,20.036465,6.597188010346144,47.34439592619139,0.7636192891321192,-0.7636192891321192,-0.026031553745269775,-0.037980999797582626,0.011884525418281555,-0.019288135692477226,-0.01751069910824299,-0.01328135747462511,0.994446606686827,-0.105240611828054,0.0006829222717503296,0.10523962986926905,0.994446039028455,0.0013424146969434406,-0.0008204057881202251,-0.0012630892251306765,0.9999988657693873,-7.724027091171592e-05,0.0003682203241623938,0.0006206486141309142,-0.026031553745269775,-0.037980999797582626,0.011884525418281555,-0.019288135692477226,-0.01751069910824299,-0.01328135747462511,0.994446606686827,-0.105240611828054,0.0006829222717503296,0.10523962986926905,0.994446039028455,0.0013424146969434406,-0.0008204057881202251,-0.0012630892251306765,0.9999988657693873,-7.724027091171592e-05,0.0003682203241623938,0.0006206486141309142,47.34439592619139,-0.00016461911162655863,0.0008175428559229014,-0.002934951209964861,-0.7209372076080567,-0.008018918738925383,0.008875186414276584,-0.00014685255058119153,47.34439592619139,-0.00016461911162655863,0.0008175428559229014,-0.002934951209964861,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
6,1775231597461492572,0.139843766,139,19.956934,6.82385299296584,47.23982294522238,0.7619326281487481,-0.7619326281487481,-0.025971008464694023,-0.03807354345917702,0.011871546506881714,-0.019254889339208603,-0.01735670678317547,-0.013224073685705662,0.9944456078804087,-0.10524962994642517,0.000684786320012511,0.10524866300618108,0.9944450682655337,0.0013212518875913033,-0.0008200436310622904,-0.0012418402867092181,0.99999889267997,0.00038748112274333835,-0.0003705668495967984,0.0004827720986213535,-0.025971008464694023,-0.03807354345917702,0.011871546506881714,-0.019254889339208603,-0.01735670678317547,-0.013224073685705662,0.9944456078804087,-0.10524962994642517,0.000684786320012511,0.10524866300618108,0.9944450682655337,0.0013212518875913033,-0.0008200436310622904,-0.0012418402867092181,0.99999889267997,0.00038748112274333835,-0.0003705668495967984,0.0004827720986213535,47.23982294522238,-0.00019416365719567558,0.0009143219085290285,-0.0029359257936642253,-0.7479387815282373,-0.008797457351710168,0.010743749701098863,-0.00016285981324083712,47.23982294522238,-0.00019416365719567558,0.0009143219085290285,-0.0029359257936642253,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
7,1775231597481513845,0.159865039,159,20.021273,7.577147000120021,47.22923973277453,0.7617619311737828,-0.7617619311737828,-0.025904228910803795,-0.03817548602819443,0.011855676770210266,-0.019199348986148834,-0.017110180109739304,-0.012981722131371498,0.9944452355644535,-0.10525298481630108,0.0007044747160137171,0.10525201821696828,0.9944447485021919,0.0012916934089507552,-0.0008365157554254161,-0.0012103709675774926,0.9999989176211768,-0.0009279990335926414,-0.00022358288697432727,0.00036572274984791875,-0.025904228910803795,-0.03817548602819443,0.011855676770210266,-0.019199348986148834,-0.017110180109739304,-0.012981722131371498,0.9944452355644535,-0.10525298481630108,0.0007044747160137171,0.10525201821696828,0.9944447485021919,0.0012916934089507552,-0.0008365157554254161,-0.0012103709675774926,0.9999989176211768,-0.0009279990335926414,-0.00022358288697432727,0.00036572274984791875,47.22923973277453,-0.0001127799840180926,0.0009395083062746267,-0.002936035942980298,-0.75067145100534,-0.006652887828013156,0.011230036525441557,-0.0001646689847212373,47.22923973277453,-0.0001127799840180926,0.0009395083062746267,-0.002936035942980298,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
8,1775231597501493874,0.179845068,179,19.980029,6.232211002497934,47.26217198771627,0.7622930965760689,-0.7622930965760689,-0.025864586234092712,-0.03823767974972725,0.01183559000492096,-0.019236549735069275,-0.016927914693951607,-0.012935006059706211,0.9944438490035518,-0.10526590726499907,0.0007253645021650049,0.10526494433847722,0.9944434199460167,0.0012578658375827067,-0.000853744338921979,-0.0011745214898491226,0.9999989458093841,-0.0013023996725678444,-0.0022678726818412542,-4.414368231664412e-05,-0.025864586234092712,-0.03823767974972725,0.01183559000492096,-0.019236549735069275,-0.016927914693951607,-0.012935006059706211,0.9944438490035518,-0.10526590726499907,0.0007253645021650049,0.10526494433847722,0.9944434199460167,0.0012578658375827067,-0.000853744338921979,-0.0011745214898491226,0.9999989458093841,-0.0013023996725678444,-0.0022678726818412542,-4.414368231664412e-05,47.26217198771627,-0.0001330508851031706,0.0012122406554114654,-0.0029330008577768503,-0.7421680813210507,-0.0071870534043207805,0.016495821227839318,-0.0001148185654317939,47.26217198771627,-0.0001330508851031706,0.0012122406554114654,-0.0029330008577768503,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
9,1775231597521496932,0.199848126,199,20.003058,5.5023849999997765,47.183269314076966,0.761020472807693,-0.761020472807693,-0.025814566761255264,-0.03832313045859337,0.011788874864578247,-0.019349411129951477,-0.0166801605373621,-0.012897027656435966,0.9944431193829635,-0.10527281772524377,0.0007542406954785252,0.10527184536361589,0.9944427475143991,0.0012301254667409604,-0.0008795479132249658,-0.00114388948722427,0.9999989589556376,0.00047341574099846184,-0.0005284178769215941,0.0006104878266341984,-0.025814566761255264,-0.03832313045859337,0.011788874864578247,-0.019349411129951477,-0.0166801605373621,-0.012897027656435966,0.9944431193829635,-0.10527281772524377,0.0007542406954785252,0.10527184536361589,0.9944427475143991,0.0012301254667409604,-0.0008795479132249658,-0.00114388948722427,0.9999989589556376,0.00047341574099846184,-0.0005284178769215941,0.0006104878266341984,47.183269314076966,-0.0001859481066940459,0.001020859512494414,-0.002939922366610694,-0.7625413780849906,-0.00858096651837381,0.012800726392593434,-0.00022850239779693846,47.183269314076966,-0.0001859481066940459,0.001020859512494414,-0.002939922366610694,-0.02452397719025612,-0.025907794013619423,0.01303642988204956,0.0,0.0,0.0,0.9944530232873321,-0.10517950086515415,0.000763539697159709,0.10517818040459459,0.9944521661477976,0.0016017275074873306,-0.0009277724614384607,-0.0015125350036203251,0.9999984257369119,0.0,0.0,0.0
