step,experiment_time_s,replay_horizon_steps,one_step_error_x,one_step_error_dx,one_step_error_theta,one_step_error_wb,replay_error_x,replay_error_dx,replay_error_theta,replay_error_wb,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3
0,0.078062027,10,0.00016342707961547936,0.005056017820194245,0.00010446412614034462,0.0018883980883451276,0.00768954231567378,0.028279761220313455,0.0011479637992935117,0.007246612739501325,-0.2602508925926398,False,False,-0.0009590433023668533,False,False,0.032174811972077756,False,False,0.0011664204958370648,False,False
1,0.107757438,10,0.0003594925169398974,0.004262975935221771,0.00010013269184590653,0.0013714195644171875,0.008712633482640455,0.024955561882550402,0.0012952513458020162,0.010947817481643531,-0.4352157152882474,False,False,0.0004882692885104132,False,False,0.036666871212866325,False,False,0.0010858509749070188,False,False
2,0.159060978,10,0.0009728569620412247,0.003433509545373505,8.407462597249862e-05,0.002471027179555969,0.008861742716094629,0.022377107308868133,0.0012617850184817871,0.01200901596857253,-0.5651371457096669,False,False,-9.391651212471322e-05,False,False,0.039369300581983895,False,False,0.0011325494069783905,False,False
3,0.214636311,10,0.0013006635276307228,0.0028693438155654263,9.934404934096133e-05,0.0005626961285345374,0.010146667179628527,0.02028991991401425,0.0014107144662449333,0.013494109523273306,-0.6712798141496633,False,False,0.0004411148475307025,False,False,0.03901182630009321,False,False,0.0008671633813044447,False,False
4,0.26472936,10,0.0008687090454008352,0.0028362048323898165,0.00010515451135788506,0.003918158519618637,0.012179683541669322,0.01887520677956862,0.0017358101282976565,0.018214188986017517,-0.7438687119999111,False,False,0.0017242779459567938,False,False,0.04309326933653984,False,False,0.0007218886420376428,False,False
5,0.31389133,10,0.000876554450669057,0.0024762533451901624,9.534235052495758e-05,0.002703926777792379,0.014808949110649115,0.017344839919447838,0.001655129346388536,0.01499616399451352,-0.8280842526946505,False,False,0.001024426750289728,False,False,0.039778786051886575,False,False,0.0008068496668323932,False,False
6,0.36048984,10,0.0008053119755350523,0.002440361037356115,9.842211823109865e-05,0.002325664999525166,0.017591462713306322,0.017113995523032912,0.0022416937321634036,0.021435552245843353,-0.8527244939354085,False,False,0.0057459540676138236,False,False,0.04161714848616477,False,False,0.0009638249737754782,False,False
7,0.413616571,10,0.0013340244071937376,0.0019258252645794208,0.00010714731590802048,0.0015148404359905886,0.019914320263640914,0.016696961791099068,0.0022531258650721102,0.021739647597195325,-0.8918585454742888,False,False,0.004459205816705853,False,False,0.04320086575469577,False,False,0.0010919428531426627,False,False
8,0.44906829,10,0.001278127918981892,0.0018708481999358338,0.00013665925790079652,0.0027577363565323477,0.019709515472817487,0.015635731754027708,0.0022765629778306665,0.023062702538031866,-0.9357465083389528,False,False,0.004234448432074977,False,False,0.04514322768641454,False,False,0.0012203348549003354,False,False
9,0.49395651,10,0.0012587465891574976,0.0016302577017155056,0.00011770177658193342,0.002016859429591325,0.02221459589899706,0.016287477118394202,0.0023588982094981006,0.02410817442939807,-0.9840368732584049,False,False,0.005311477769162574,False,False,0.04321644247507633,False,False,0.0013013943840395562,False,False
10,0.523681951,10,0.001125462818153544,0.001437592721652657,0.00010600448362078708,0.002822955344015359,0.022763045598125732,0.016338055799810434,0.0023856095390908756,0.02462087740176209,-1.0352606520940875,False,False,0.005340854705381621,False,False,0.04422637441329568,False,False,0.001275872987822421,False,False
