step,experiment_time_s,divergence_time_s,baseline_z_error_integral,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,learned_control_0,raw_control_0,used_control_0,baseline_control_0,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_near_bound_0,learned_control_1,raw_control_1,used_control_1,baseline_control_1,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_near_bound_1,learned_control_2,raw_control_2,used_control_2,baseline_control_2,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_near_bound_2,learned_control_3,raw_control_3,used_control_3,baseline_control_3,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3,control_internal_near_bound_3,u1_active_threshold_nm,u1_baseline_active,u1_raw_active,u1_used_active,u1_raw_overlap_active,u1_used_overlap_active,u1_raw_sign_match,u1_used_sign_match,u1_raw_magnitude_ratio,u1_used_magnitude_ratio,u1_anchor_applied,u1_anchor_delta,u1_anchor_sign_flip,u2_active_threshold_nm,u2_baseline_active,u2_raw_active,u2_used_active,u2_raw_overlap_active,u2_used_overlap_active,u2_raw_sign_match,u2_used_sign_match,u2_raw_magnitude_ratio,u2_used_magnitude_ratio,u2_anchor_applied,u2_anchor_delta,u2_anchor_sign_flip,u3_active_threshold_nm,u3_baseline_active,u3_raw_active,u3_used_active,u3_raw_overlap_active,u3_used_overlap_active,u3_raw_sign_match,u3_used_sign_match,u3_raw_magnitude_ratio,u3_used_magnitude_ratio,u3_anchor_applied,u3_anchor_delta,u3_anchor_sign_flip
0,0.0,9.999936355,-0.00012195647594891489,-0.009537242352962494,0.0080922432243824,0.012507733291916023,-0.014349556528031826,0.020771067589521408,0.025245732735645593,48.25825172222545,48.25825172222545,48.25825172222545,42.37986563148539,-0.4849723857167068,False,False,False,0.00013635742608743067,0.00013635742608743067,0.00013635742608743067,-0.0065575983399178235,-8.778114181999729e-05,False,False,False,7.824065901531425e-05,7.824065901531425e-05,7.824065901531425e-05,-0.00620496517876127,-0.005398903957642525,False,False,False,-0.002765128520394651,-0.002765128520394651,-0.002765128520394651,0.00010088079344072382,0.002642437275720629,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
1,0.039538901,9.999936355,-0.0003631973455448449,-0.009537242352962494,0.0080922432243824,0.012507733291916023,-0.014349556528031826,0.020771067589521408,0.025245732735645593,47.00297174472795,47.00297174472795,47.00297174472795,42.37860924950865,-0.8090956419234597,False,False,False,0.0002366249787306799,0.0002366249787306799,0.0002366249787306799,-0.006557741567825071,0.0025544040682919963,False,False,False,0.00017697996162331251,0.00017697996162331251,0.00017697996162331251,-0.006205104067450075,-0.003492493108895903,False,False,False,-0.0027720743993636782,-0.0027720743993636782,-0.0027720743993636782,0.00010088088060209096,0.002528353170751711,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
2,0.046019286,9.999936355,-0.0004032144727297873,-0.009568179491907358,0.008213609457015991,0.012610053096705782,-0.014275865629315376,0.020794808864593506,0.025223489353799658,46.15062379384633,46.15062379384633,46.15062379384633,42.37706727544963,-1.0291786498685587,False,False,False,0.0003293440940117427,0.0003293440940117427,0.0003293440940117427,-0.006618839602944676,0.004997677775808652,False,False,False,0.00020147252318491123,0.00020147252318491123,0.00020147252318491123,-0.006362012843326656,-0.003019602539068808,False,False,False,-0.0028076621140885765,-0.0028076621140885765,-0.0028076621140885765,-7.322134180393262e-05,0.001943834983725519,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
3,0.059920297,9.999936355,-0.0004945703729481548,-0.009714656975120306,0.008861642330884933,0.013149268608739627,-0.014036263339221478,0.021032510325312614,0.025286027349355505,45.5938382792604,45.5938382792604,45.5938382792604,42.36510593252046,-1.1729450902097152,False,False,False,0.00041400103857910963,0.00041400103857910963,0.00041400103857910963,-0.006631309668197626,0.007228502414214024,False,False,False,0.0003053477331563056,0.0003053477331563056,0.0003053477331563056,-0.006218281487144125,-0.0010140300671678533,False,False,False,-0.002805366718806337,-0.002805366718806337,-0.002805366718806337,4.60434567949032e-05,0.0019815362044769717,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
4,0.079901233,9.999936355,-0.0006291163120794147,-0.009734789608046412,0.009099721908569336,0.01332557944429529,-0.013718427158892155,0.021190272644162178,0.025243274321049513,45.20988979451393,45.20988979451393,45.20988979451393,42.359130544362046,-1.2720836372450712,False,False,False,0.000438193137131306,0.000438193137131306,0.000438193137131306,-0.006734366781686438,0.007865996831013163,False,False,False,0.00041215546176449647,0.00041215546176449647,0.00041215546176449647,-0.0060308332692648615,0.0010481620606925485,False,False,False,-0.0028093422611294543,-0.0028093422611294543,-0.0028093422611294543,6.628243863533388e-05,0.001916239041983744,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
5,0.100147745,9.999936355,-0.0007675195993113368,-0.009741756366565824,0.009252950549125671,0.013435732617542329,-0.01368718408048153,0.021252671256661415,0.02527874687552192,44.909745812708536,44.909745812708536,44.909745812708536,42.35544600228762,-1.3495831962737803,False,False,False,0.0004068231541507904,0.0004068231541507904,0.0004068231541507904,-0.0069934703554364,0.007039355481069295,False,False,False,0.000492651411393147,0.000492651411393147,0.000492651411393147,-0.005915460278991756,0.0026023390459347963,False,False,False,-0.0028130121731754377,-0.0028130121731754377,-0.0028130121731754377,6.548617124723706e-05,0.001855961770676884,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
6,0.120761831,9.999936355,-0.0009095530868304818,-0.009698596317321062,0.009341269731521606,0.013465589133914468,-0.013520823791623116,0.02124233916401863,0.025180342514813443,44.75198818943504,44.75198818943504,44.75198818943504,42.353555532047615,-1.3903174670846485,False,False,False,0.0004862483634876792,0.0004862483634876792,0.0004862483634876792,-0.0067439955252925655,0.009132316841826171,False,False,False,0.0004731389808779955,0.0004731389808779955,0.0004731389808779955,-0.00595988585110315,0.002225602445240129,False,False,False,-0.002819458440035064,-0.002819458440035064,-0.002819458440035064,4.8343613679006986e-05,0.0017500836538322658,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
7,0.140852432,9.999936355,-0.0010486419145686477,-0.009662677068263292,0.009440436959266663,0.013508855543954465,-0.01347009651362896,0.021279122680425644,0.025184212557375782,44.64559006988869,44.64559006988869,44.64559006988869,42.35108157748439,-1.4177903062757824,False,False,False,0.000462434441656687,0.000462434441656687,0.000462434441656687,-0.0068107616828449,0.008504787891553671,False,False,False,0.0006430617690939146,0.0006430617690939146,0.0006430617690939146,-0.005574108910735361,0.0055063897138131835,False,False,False,-0.0028237470111558954,-0.0028237470111558954,-0.0028237470111558954,5.6223715623429364e-05,0.0016796450815367728,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
8,0.162274867,9.999936355,-0.0011965645605579317,-0.009596994845196605,0.009472906589508057,0.013484742092909133,-0.01326129399240017,0.021089084446430206,0.024912073401094765,44.585345058199884,44.585345058199884,44.585345058199884,42.35138210205271,-1.4333460465957375,False,False,False,0.0005088844243674472,0.0005088844243674472,0.0005088844243674472,-0.006678586988201873,0.009728807567839164,False,False,False,0.0005379515620483828,0.0005379515620483828,0.0005379515620483828,-0.005745479727807217,0.0034769725138442866,False,False,False,-0.0028082911065919827,-0.0028082911065919827,-0.0028082911065919827,0.0001986927752180426,0.0019335039590843998,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
9,0.185002993,9.999936355,-0.001353503047536552,-0.009596994845196605,0.009472906589508057,0.013484742092909133,-0.01326129399240017,0.021089084446430206,0.024912073401094765,44.54514518318547,44.54514518318547,44.54514518318547,42.35056476667057,-1.4437259734824488,False,False,False,0.0005170242563526848,0.0005170242563526848,0.0005170242563526848,-0.006678685365466756,0.009943303116171861,False,False,False,0.0005318375754637645,0.0005318375754637645,0.0005318375754637645,-0.005745566550622679,0.0033589266086561376,False,False,False,-0.0028074427725682557,-0.0028074427725682557,-0.0028074427725682557,0.00019869283397174611,0.0019474376063942846,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
10,0.209930362,9.999936355,-0.0015252150767246931,-0.009537875885143876,0.009515572339296341,0.013472831675070787,-0.013107416220009327,0.02100365236401558,0.024757984017140428,44.48282968043167,44.48282968043167,44.48282968043167,42.3513547158943,-1.459816331033588,False,False,False,0.0004298574185124971,0.0004298574185124971,0.0004298574185124971,-0.006927780234485401,0.007646339405757804,False,False,False,0.0006953629280593162,0.0006953629280593162,0.0006953629280593162,-0.005331045525772157,0.006516195274720462,False,False,False,-0.0028200061633261294,-0.0028200061633261294,-0.0028200061633261294,0.00010780444692119672,0.0017410874531051217,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
11,0.236047812,9.999936355,-0.0017044431276741177,-0.00949222152121365,0.009498793631792068,0.013428676400418811,-0.012980052269995213,0.020924003794789314,0.024623072345590132,44.46814882261237,44.46814882261237,44.46814882261237,42.35255002298412,-1.4636070450779461,False,False,False,0.0004794386099904373,0.0004794386099904373,0.0004794386099904373,-0.006760618045698593,0.008952870655092777,False,False,False,0.000616613484502848,0.000616613484502848,0.000616613484502848,-0.005483976122639193,0.004995738986662279,False,False,False,-0.002834143569593213,-0.002834143569593213,-0.002834143569593213,4.734803407470161e-06,0.0015088845385777888,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
12,0.259875996,9.999936355,-0.0018673463721438795,-0.009448389988392591,0.009485308080911636,0.01338817174832191,-0.012886232696473598,0.02089247666299343,0.02454690559360569,44.39206345809221,44.39206345809221,44.39206345809221,42.3530973691049,-1.4832528902599227,False,False,False,0.00041637000780376295,0.00041637000780376295,0.00041637000780376295,-0.007098517890156731,0.007290927947535455,False,False,False,0.0005719163113638412,0.0005719163113638412,0.0005719163113638412,-0.0054886307012771696,0.004132747517917528,False,False,False,-0.0028378119942555347,-0.0028378119942555347,-0.0028378119942555347,-2.6975755420631466e-05,0.0014486316971284914,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
13,0.283050828,9.999936355,-0.002025196896294251,-0.009406333789229393,0.00947505608201027,0.013351247249288673,-0.01279094535857439,0.02081228420138359,0.024428660561831808,44.42423874834757,44.42423874834757,44.42423874834757,42.35368907982733,-1.4749449748674102,False,False,False,0.0004891525826296162,0.0004891525826296162,0.0004891525826296162,-0.006694270144985951,0.009208846932184036,False,False,False,0.0006354379227985704,0.0006354379227985704,0.0006354379227985704,-0.0053543870432475596,0.005359192165291674,False,False,False,-0.0028532149995895775,-0.0028532149995895775,-0.0028532149995895775,-0.0001291725039160689,0.0011956416745263806,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
14,0.307639601,9.999936355,-0.002189914785644725,-0.009275209158658981,0.00936056300997734,0.013177619086945392,-0.012544771656394005,0.020421968773007393,0.023967229803979338,44.432344799654956,44.432344799654956,44.432344799654956,42.35684416866328,-1.4728519280636463,False,False,False,0.0004804402563865647,0.0004804402563865647,0.0004804402563865647,-0.006677790705484881,0.008979265388222708,False,False,False,0.0005950364147304421,0.0005950364147304421,0.0005950364147304421,-0.005302582243734563,0.004579139326630396,False,False,False,-0.00284360206357129,-0.00284360206357129,-0.00284360206357129,-3.8414325450766544e-05,0.0013535314400492287,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
15,0.33224001,9.999936355,-0.00235140631948559,-0.009156061103567481,0.009170204401016235,0.012958630471183246,-0.012246142141520977,0.020090222358703613,0.02352838778523702,44.45993606101088,44.45993606101088,44.45993606101088,42.36185323374718,-1.4657276453268493,False,False,False,0.0004845602013331553,0.0004845602013331553,0.0004845602013331553,-0.006491770825331205,0.009087831492783853,False,False,False,0.0005966188081626099,0.0005966188081626099,0.0005966188081626099,-0.005105226724313872,0.004609691416086066,False,False,False,-0.0028403226165456146,-0.0028403226165456146,-0.0028403226165456146,-1.4532511777316273e-05,0.0014073954334164421,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
16,0.353748226,9.999936355,-0.002490468856582567,-0.009092314168810844,0.008987829089164734,0.012784805382969043,-0.012231191620230675,0.019791100174188614,0.02326563333665279,44.47812990708014,44.47812990708014,44.47812990708014,42.36473984988789,-1.4610298498257617,False,False,False,0.00046608603609433737,0.00046608603609433737,0.00046608603609433737,-0.006402921705606943,0.008601012328693524,False,False,False,0.0006366019673965289,0.0006366019673965289,0.0006366019673965289,-0.004964134449009873,0.005381666977158463,False,False,False,-0.0028572411686458034,-0.0028572411686458034,-0.0028572411686458034,-0.00016797359117208318,0.0011295129822066258,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
17,0.365788125,9.999936355,-0.0025677332695688755,-0.00906370091252029,0.008901942521333694,0.012704143217263809,-0.012175635434687138,0.01964358612895012,0.02311096220939082,44.54604033547998,44.54604033547998,44.54604033547998,42.36659443438063,-1.4434948380531432,False,False,False,0.0004747852701909416,0.0004747852701909416,0.0004747852701909416,-0.006135013487138101,0.008830248876942885,False,False,False,0.0007687819600746943,0.0007687819600746943,0.0007687819600746943,-0.004645736396090417,0.007933734546739329,False,False,False,-0.002828951565946796,-0.002828951565946796,-0.002828951565946796,0.00010845596007999729,0.0015941617355514405,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
18,0.379867518,9.999936355,-0.00264463856146054,-0.008770607877522707,0.007741689682006836,0.01169860340697788,-0.011792785488069057,0.017888523638248444,0.0214258971229628,44.616035932258036,44.616035932258036,44.616035932258036,42.39961698912958,-1.4254214192505361,False,False,False,0.00047154815981668,0.00047154815981668,0.00047154815981668,-0.005458741129361907,0.008744946653752042,False,False,False,0.0005839320115606367,0.0005839320115606367,0.0005839320115606367,-0.004594496715813728,0.0043647408640868825,False,False,False,-0.0028456797074470496,-0.0028456797074470496,-0.0028456797074470496,-2.986037792916621e-05,0.0013194067247947385,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
19,0.402697578,9.999936355,-0.0027486570828546735,-0.008635543286800385,0.006778653711080551,0.010978285567106975,-0.011693989858031273,0.016443831846117973,0.020177933605380456,44.74988310455514,44.74988310455514,44.74988310455514,42.42940419671801,-1.390861016713494,False,False,False,0.0004488491843652987,0.0004488491843652987,0.0004488491843652987,-0.004810188174108147,0.00814679804394479,False,False,False,0.0007029920575808339,0.0007029920575808339,0.0007029920575808339,-0.0041485743636055,0.006663494829225684,False,False,False,-0.002868897858600426,-0.002868897858600426,-0.002868897858600426,-0.00013738306864716438,0.0009380551341353794,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
20,0.424895882,9.999936355,-0.002842677472357199,-0.008609399665147066,0.006452444940805435,0.010758987327270169,-0.011709105223417282,0.015941990539431572,0.019780045689845704,44.893713668872955,44.893713668872955,44.893713668872955,42.440645940653646,-1.353722823095776,False,False,False,0.0004721983625108067,0.0004721983625108067,0.0004721983625108067,-0.004420096573021022,0.008762080371457398,False,False,False,0.0006850168808529204,0.0006850168808529204,0.0006850168808529204,-0.004144912918110447,0.006316438783485938,False,False,False,-0.0028604912049880696,-0.0028604912049880696,-0.0028604912049880696,-3.775092957585298e-05,0.0010761320510275353,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
21,0.458320624,9.999936355,-0.002978870037052736,-0.008600982837378979,0.006264880299568176,0.010640753306829606,-0.011699105612933636,0.015717964619398117,0.019593965497551186,44.94036135124742,44.94036135124742,44.94036135124742,42.444763752448175,-1.341678021157764,False,False,False,0.0004111234933769671,0.0004111234933769671,0.0004111234933769671,-0.004609907515447967,0.007152675218136135,False,False,False,0.0006250230079524231,0.0006250230079524231,0.0006250230079524231,-0.004187989478855296,0.005158106010872559,False,False,False,-0.0028549019692370153,-0.0028549019692370153,-0.0028549019692370153,-1.786964859598489e-05,0.0011679336733942177,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
22,0.479478966,9.999936355,-0.0030619665677265677,-0.008594837039709091,0.006081324070692062,0.010528709616659299,-0.011699944734573364,0.01547974906861782,0.01940390007239383,44.99869542235862,44.99869542235862,44.99869542235862,42.44907886436804,-1.326615700866435,False,False,False,0.0004213924982237272,0.0004213924982237272,0.0004213924982237272,-0.0044106916788213026,0.007423277342287059,False,False,False,0.0006049989687557248,0.0006049989687557248,0.0006049989687557248,-0.004183861529637419,0.004771491516420772,False,False,False,-0.0028477460906186384,-0.0028477460906186384,-0.0028477460906186384,4.680792604076464e-05,0.0012854669634334013,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
23,0.516481735,9.999936355,-0.0032019282853716913,-0.00859087286517024,0.005902040749788284,0.010422916175316762,-0.011717209592461586,0.01532347034662962,0.019289938934525196,45.071730733199466,45.071730733199466,45.071730733199466,42.45339421265003,-1.3077574037596824,False,False,False,0.00046190030169867625,0.00046190030169867625,0.00046190030169867625,-0.0041654579159919,0.008490712583440715,False,False,False,0.0005490942817986469,0.0005490942817986469,0.0005490942817986469,-0.004276927234495403,0.003692110774449401,False,False,False,-0.0028577773425161285,-0.0028577773425161285,-0.0028577773425161285,-4.074374696332736e-05,0.0011207064774609303,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
