step,experiment_time_s,divergence_time_s,baseline_z_error_integral,lateral_position_residual_x,lateral_position_residual_y,lateral_position_residual_norm,lateral_velocity_residual_x,lateral_velocity_residual_y,lateral_velocity_residual_norm,learned_control_0,raw_control_0,used_control_0,baseline_control_0,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_near_bound_0,learned_control_1,raw_control_1,used_control_1,baseline_control_1,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_near_bound_1,learned_control_2,raw_control_2,used_control_2,baseline_control_2,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_near_bound_2,learned_control_3,raw_control_3,used_control_3,baseline_control_3,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3,control_internal_near_bound_3,u1_active_threshold_nm,u1_baseline_active,u1_raw_active,u1_used_active,u1_raw_overlap_active,u1_used_overlap_active,u1_raw_sign_match,u1_used_sign_match,u1_raw_magnitude_ratio,u1_used_magnitude_ratio,u1_anchor_applied,u1_anchor_delta,u1_anchor_sign_flip,u2_active_threshold_nm,u2_baseline_active,u2_raw_active,u2_used_active,u2_raw_overlap_active,u2_used_overlap_active,u2_raw_sign_match,u2_used_sign_match,u2_raw_magnitude_ratio,u2_used_magnitude_ratio,u2_anchor_applied,u2_anchor_delta,u2_anchor_sign_flip,u3_active_threshold_nm,u3_baseline_active,u3_raw_active,u3_used_active,u3_raw_overlap_active,u3_used_overlap_active,u3_raw_sign_match,u3_used_sign_match,u3_raw_magnitude_ratio,u3_used_magnitude_ratio,u3_anchor_applied,u3_anchor_delta,u3_anchor_sign_flip
0,0.0,6.122182892,1.1118376637756825e-05,-0.00480253086425364,0.007395461201667786,0.008818001422515327,-0.003034666646271944,0.019756192341446877,0.019987904779797196,48.75942255672996,48.75942255672996,48.75942255672996,42.66537181986392,-0.3555660973129865,False,False,False,-0.00012331884225136484,-0.00012331884225136484,-0.00012331884225136484,-0.0067541723487117965,-0.0069306009527614326,False,False,False,1.3770870868354452e-05,1.3770870868354452e-05,1.3770870868354452e-05,-0.003587122130024337,-0.006643655543824021,False,False,False,-0.0028338261926064614,-0.0028338261926064614,-0.0028338261926064614,0.00014719006442568872,0.0015140973661598375,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
1,0.038978635,6.122182892,4.986127489937842e-05,-0.00480253086425364,0.007395461201667786,0.008818001422515327,-0.003034666646271944,0.019756192341446877,0.019987904779797196,47.8402742684223,47.8402742684223,47.8402742684223,42.665573592781385,-0.5928974827279481,False,False,False,-7.923027363636531e-05,-7.923027363636531e-05,-7.923027363636531e-05,-0.006754149626800933,-0.005768807721963925,False,False,False,7.105725995084142e-05,7.105725995084142e-05,7.105725995084142e-05,-0.003587113910446873,-0.005537597563386891,False,False,False,-0.002841696672913144,-0.002841696672913144,-0.002841696672913144,0.00014719006095307392,0.001384826944739138,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
2,0.046081792,6.122182892,5.785756882977486e-05,-0.004963674116879702,0.00765107199549675,0.009120140537231656,-0.0031020210590213537,0.01980607770383358,0.020047524751472576,47.29692915488755,47.29692915488755,47.29692915488755,42.67037357184974,-0.7331935048106075,False,False,False,9.851037659316432e-07,9.851037659316432e-07,9.851037659316432e-07,-0.00653309667357273,-0.0036550243672430344,False,False,False,0.00029344026199228676,0.00029344026199228676,0.00029344026199228676,-0.003331307805965494,-0.0012439337793537257,False,False,False,-0.0028655794936492283,-0.0028655794936492283,-0.0028655794936492283,7.822765759531148e-05,0.0009925583434636297,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
3,0.055608152,6.122182892,6.921231341373922e-05,-0.005041513359174132,0.0077791716903448105,0.00926997136665445,-0.0031778530683368444,0.019829582422971725,0.020082606633436983,46.897706324927235,46.897706324927235,46.897706324927235,42.67232147849097,-0.8362760090474531,False,False,False,2.497887108092407e-05,2.497887108092407e-05,2.497887108092407e-05,-0.006700399347972854,-0.003022756245968511,False,False,False,0.00023701012578707418,0.00023701012578707418,0.00023701012578707418,-0.0035634644767186157,-0.0023334596420688278,False,False,False,-0.002864268056873865,-0.002864268056873865,-0.002864268056873865,0.0001598660061203346,0.0010140983229835422,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
4,0.062255218,6.122182892,7.790435857829453e-05,-0.005207421258091927,0.008023863658308983,0.00956554358969522,-0.0033330400474369526,0.019813889637589455,0.020092271611950534,46.68493953415022,46.68493953415022,46.68493953415022,42.67730095214894,-0.8912140836408124,False,False,False,7.837136842706202e-05,7.837136842706202e-05,7.837136842706202e-05,-0.006517057135668554,-0.0016157919479483408,False,False,False,0.0003265678653956437,0.0003265678653956437,0.0003265678653956437,-0.003494252717965632,-0.0006043219849311531,False,False,False,-0.0028794471047602728,-0.0028794471047602728,-0.0028794471047602728,0.000102124365765271,0.0007647867383557402,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
5,0.06976995,6.122182892,8.824073331895472e-05,-0.005295244278386235,0.008140899240970612,0.009711531929588556,-0.0033512464724481106,0.019891202449798584,0.02017153409679019,46.56296937943626,46.56296937943626,46.56296937943626,42.679551789844396,-0.9227077459429401,False,False,False,0.00014255771736020346,0.00014255771736020346,0.00014255771736020346,-0.006386951485928738,7.560489351682573e-05,False,False,False,0.0002575458121225818,0.0002575458121225818,0.0002575458121225818,-0.003709967007920394,-0.00193696651134564,False,False,False,-0.002892793782632476,-0.002892793782632476,-0.002892793782632476,1.831108000625895e-05,0.0005455713149156738,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
6,0.080014978,6.122182892,0.0001065019537637532,-0.005784424254670739,0.008665189146995544,0.010418496384374884,-0.00361130409874022,0.01986786350607872,0.02019340282344094,46.432409671986115,46.432409671986115,46.432409671986115,42.69456916394065,-0.956419298956401,False,False,False,3.018113390213504e-05,3.018113390213504e-05,3.018113390213504e-05,-0.006788789009249184,-0.0028856696060439793,False,False,False,0.00034184446037308113,0.00034184446037308113,0.00034184446037308113,-0.003639740285424207,-0.00030936885453973246,False,False,False,-0.0028925437317032857,-0.0028925437317032857,-0.0028925437317032857,6.826481270795238e-05,0.0005496783309723236,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
7,0.093156111,6.122182892,0.00012992532816618683,-0.005784424254670739,0.008665189146995544,0.010418496384374884,-0.00361130409874022,0.01986786350607872,0.02019340282344094,46.345291860659884,46.345291860659884,46.345291860659884,42.69469115282383,-0.9789138094933686,False,False,False,2.4934800245258082e-05,2.4934800245258082e-05,2.4934800245258082e-05,-0.006788774839711048,-0.0030239175719121913,False,False,False,0.0003584041773489409,0.0003584041773489409,0.0003584041773489409,-0.0036397345803949425,1.0358176754849296e-05,False,False,False,-0.002894164961884893,-0.002894164961884893,-0.002894164961884893,6.826480992732706e-05,0.000523050082043415,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
8,0.102432558,6.122182892,0.00014738168250702323,-0.005887124687433243,0.008762804791331291,0.01055675067889569,-0.003719884669408202,0.019926561042666435,0.020270801092724722,46.342836909423156,46.342836909423156,46.342836909423156,42.697866757616595,-0.9795476973932328,False,False,False,7.572826828354907e-05,7.572826828354907e-05,7.572826828354907e-05,-0.006538895257478226,-0.0016854412006121837,False,False,False,0.0004001920897046494,0.0004001920897046494,0.0004001920897046494,-0.0036211596105406732,0.0008171790409619918,False,False,False,-0.0029009233532330254,-0.0029009233532330254,-0.0029009233532330254,3.541406720454931e-05,0.00041204540842047294,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
9,0.110941104,6.122182892,0.0001643005489011556,-0.006004845490679145,0.008856749162077904,0.010700475460786651,-0.0038329814560711384,0.019991489127278328,0.020355622917726513,46.336021963535664,46.336021963535664,46.336021963535664,42.70156304856432,-0.9813073705271343,False,False,False,8.018801126235221e-05,8.018801126235221e-05,8.018801126235221e-05,-0.00657821947881417,-0.0015679209597280772,False,False,False,0.00034224407645077617,0.00034224407645077617,0.00034224407645077617,-0.003773328104720336,-0.00030165325998184983,False,False,False,-0.0028900791317419527,-0.0028900791317419527,-0.0028900791317419527,0.0001320750222845491,0.0005901586909021289,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
10,0.119736053,6.122182892,0.00018458038545310498,-0.006346544483676553,0.009142883121967316,0.011129732191981984,-0.004124686121940613,0.019975587725639343,0.02039698851765237,46.32404945688591,46.32404945688591,46.32404945688591,42.7118595609979,-0.9843987667971609,False,False,False,-1.1269683948902752e-05,-1.1269683948902752e-05,-1.1269683948902752e-05,-0.006760914376012717,-0.003977954547541772,False,False,False,0.0005364503719426959,0.0005364503719426959,0.0005364503719426959,-0.003478797117197006,0.003447988259065067,False,False,False,-0.0029032569681506585,-0.0029032569681506585,-0.0029032569681506585,2.9414106897570202e-05,0.00037371644092659386,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
11,0.129789713,6.122182892,0.00020776262125104665,-0.006346544483676553,0.009142883121967316,0.011129732191981984,-0.004124686121940613,0.019975587725639343,0.02039698851765237,46.31590795427196,46.31590795427196,46.31590795427196,42.7119802940353,-0.9865009674097379,False,False,False,-2.0285736563361206e-05,-2.0285736563361206e-05,-2.0285736563361206e-05,-0.006760900183247662,-0.004215539690925817,False,False,False,0.0005560148705534448,0.0005560148705534448,0.0005560148705534448,-0.0034787909573447064,0.003825730165445503,False,False,False,-0.0029047633251591885,-0.0029047633251591885,-0.0029047633251591885,2.9414103732547027e-05,0.0003489749514983875,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
12,0.143593299,6.122182892,0.00024245543971800803,-0.006597927655093372,0.009361529722809792,0.011452985990251498,-0.004255771636962891,0.019946465268731117,0.020395417841826004,46.33791676913348,46.33791676913348,46.33791676913348,42.71828049139578,-0.9808181166783891,False,False,False,5.300360557540484e-05,5.300360557540484e-05,5.300360557540484e-05,-0.006577014211974365,-0.0022842667042711163,False,False,False,0.00036199224912630525,0.00036199224912630525,0.00036199224912630525,-0.0039626935944635944,7.963493668504258e-05,False,False,False,-0.002912009895748946,-0.002912009895748946,-0.002912009895748946,-3.496291573969383e-05,0.00022995207138299563,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
13,0.151726428,6.122182892,0.00026289658942833544,-0.006597927655093372,0.009361529722809792,0.011452985990251498,-0.004255771636962891,0.019946465268731117,0.020395417841826004,46.3528221114309,46.3528221114309,46.3528221114309,42.71838694886344,-0.9769694389595373,False,False,False,5.945291358623727e-05,5.945291358623727e-05,5.945291358623727e-05,-0.0065770016621758565,-0.0021143187421192194,False,False,False,0.00034167295142085123,0.00034167295142085123,0.00034167295142085123,-0.003962688013783758,-0.00031268026669833737,False,False,False,-0.0029125439987121135,-0.0029125439987121135,-0.0029125439987121135,-3.4962918647036596e-05,0.00022117958070385884,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
14,0.16516314,6.122182892,0.00030023370156207683,-0.006839581415988505,0.009579548612236977,0.011770625538183886,-0.004408370703458786,0.0199042446911335,0.020386581100901392,46.353965884700926,46.353965884700926,46.353965884700926,42.727320372607124,-0.9766741076204825,False,False,False,-2.8261322420370045e-05,-2.8261322420370045e-05,-2.8261322420370045e-05,-0.006752205368521441,-0.004425707132314803,False,False,False,0.00048511188135369476,0.00048511188135369476,0.00048511188135369476,-0.003699208679968558,0.0024567694350299454,False,False,False,-0.002875935220425999,-0.002875935220425999,-0.002875935220425999,0.000300112742469738,0.0008224684490242579,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
15,0.176860098,6.122182892,0.00033417480107674006,-0.006958835409022868,0.009694917127490044,0.011933851363192447,-0.004510869737714529,0.019893039017915726,0.02039806233834347,46.39378899215707,46.39378899215707,46.39378899215707,42.73077695516158,-0.9663914651085784,False,False,False,3.533146538229373e-05,3.533146538229373e-05,3.533146538229373e-05,-0.006520969278845703,-0.0027499514269789427,False,False,False,0.00040916257803431494,0.00040916257803431494,0.00040916257803431494,-0.003956897633841194,0.0009903769046143529,False,False,False,-0.0029114926147923133,-0.0029114926147923133,-0.0029114926147923133,-3.1566617553816165e-05,0.0002384482653446301,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
16,0.184168859,6.122182892,0.0003562725513182134,-0.007076198235154152,0.009810298681259155,0.012096054798103134,-0.0045940144918859005,0.019892340525984764,0.02041592958337664,46.45299772403819,46.45299772403819,46.45299772403819,42.73429342072199,-0.9511033004622818,False,False,False,6.48579098332628e-05,6.48579098332628e-05,6.48579098332628e-05,-0.006378062976460633,-0.0019718898030643955,False,False,False,0.0003924239008046468,0.0003924239008046468,0.0003924239008046468,-0.004016432270938772,0.0006671945950228474,False,False,False,-0.0028939616270703557,-0.0028939616270703557,-0.0028939616270703557,0.00015390927207019852,0.0005263897990798052,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
17,0.198260039,6.122182892,0.0004005768446771354,-0.007191421929746866,0.009925784543156624,0.012257150899324488,-0.004660301376134157,0.01990160346031189,0.02043996646787602,46.50696832326078,46.50696832326078,46.50696832326078,42.73811905971733,-0.9371676632554103,False,False,False,3.465177391202151e-05,3.465177391202151e-05,3.465177391202151e-05,-0.006370275413094847,-0.0027678622136975755,False,False,False,0.0005414723914877773,0.0005414723914877773,0.0005414723914877773,-0.0037490733111733778,0.0035449509911330696,False,False,False,-0.0029206445533287197,-0.0029206445533287197,-0.0029206445533287197,-7.428997237465515e-05,8.813025356927395e-05,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
18,0.207611171,6.122182892,0.000431099032592699,-0.007304565864615142,0.010041633620858192,0.012417370423968609,-0.004724082536995411,0.01993090845644474,0.020483116650439833,46.53661676909679,46.53661676909679,46.53661676909679,42.74228488443166,-0.9295121991532957,False,False,False,1.60658989659037e-05,1.60658989659037e-05,1.60658989659037e-05,-0.006426101885887996,-0.003257625079201502,False,False,False,0.0005320361263641221,0.0005320361263641221,0.0005320361263641221,-0.003806895837510354,0.0033627601337112307,False,False,False,-0.0029240036856483962,-0.0029240036856483962,-0.0029240036856483962,-8.773493798405863e-05,3.295745170052144e-05,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
19,0.215911965,6.122182892,0.00045920000276683276,-0.00740716967266053,0.010141545906662941,0.012558547524954219,-0.00480266148224473,0.01994798332452774,0.020517982260170563,46.56337990743832,46.56337990743832,46.56337990743832,42.746579189307226,-0.9226017443535126,False,False,False,-4.5357093372925e-06,-4.5357093372925e-06,-4.5357093372925e-06,-0.006437659995811982,-0.0038005052366228997,False,False,False,0.0005572229557767804,0.0005572229557767804,0.0005572229557767804,-0.0037621104763829894,0.0038490552924734,False,False,False,-0.002908504130943258,-0.002908504130943258,-0.002908504130943258,4.833561797475097e-05,0.00028753327051875104,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
20,0.229017888,6.122182892,0.0005064627804426253,-0.007606962928548455,0.010342773050069809,0.012838957876773366,-0.004907059483230114,0.0199394803494215,0.020534412808184334,46.57453825244836,46.57453825244836,46.57453825244836,42.753521494254294,-0.9197205710827137,False,False,False,-1.9804979666080926e-05,-1.9804979666080926e-05,-1.9804979666080926e-05,-0.006511168392027235,-0.004202871098443334,False,False,False,0.0005130678250778724,0.0005130678250778724,0.0005130678250778724,-0.003869787960976368,0.0029965293178226067,False,False,False,-0.0029134819116685847,-0.0029134819116685847,-0.0029134819116685847,-7.479866562004507e-06,0.00020577462466375324,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
21,0.235845937,6.122182892,0.0005318331103315354,-0.007703932642471045,0.010443756356835365,0.012977774269907379,-0.00494525907561183,0.019903158769011497,0.020508323098425197,46.580049953143224,46.580049953143224,46.580049953143224,42.7568538405848,-0.918297406204376,False,False,False,-4.139404824329935e-05,-4.139404824329935e-05,-4.139404824329935e-05,-0.00656365209063099,-0.00477177216554902,False,False,False,0.0005398462054436873,0.0005398462054436873,0.0005398462054436873,-0.0038260451629656906,0.003513553375040505,False,False,False,-0.0029187416971306747,-0.0029187416971306747,-0.0029187416971306747,-4.4930670536696926e-05,0.00011938413046614094,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
22,0.248467469,6.122182892,0.0005800678890394568,-0.007793039141688496,0.010521326214075089,0.01309311897016416,-0.004947828594595194,0.019844043999910355,0.020451579158389504,46.628016018498315,46.628016018498315,46.628016018498315,42.7595143562359,-0.9059121873137569,False,False,False,8.448975082286356e-06,8.448975082286356e-06,8.448975082286356e-06,-0.0063159802437149064,-0.003458341293981853,False,False,False,0.0005039338879842844,0.0005039338879842844,0.0005039338879842844,-0.003925855437701609,0.002820175664241355,False,False,False,-0.002904007862101954,-0.002904007862101954,-0.002904007862101954,8.825495191206862e-05,0.00036138321935130427,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
23,0.263039897,6.122182892,0.0006372887089234591,-0.00788019597530365,0.010599270462989807,0.013207650167868621,-0.004997552372515202,0.019761178642511368,0.02038331943176282,46.652922080402085,46.652922080402085,46.652922080402085,42.76245530845238,-0.8994812443940513,False,False,False,-2.0214471154076128e-05,-2.0214471154076128e-05,-2.0214471154076128e-05,-0.00636982106665568,-0.004213661751298872,False,False,False,0.0005529250651184989,0.0005529250651184989,0.0005529250651184989,-0.003818158891885834,0.0037660736918213923,False,False,False,-0.002897850426543139,-0.002897850426543139,-0.002897850426543139,0.00013286791880113752,0.000462517363462312,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
24,0.277232676,6.122182892,0.0006959698961179405,-0.00804940378293395,0.010756229981780052,0.013434633775494422,-0.0050860559567809105,0.019692547619342804,0.020338741281986712,46.63010025912344,46.63010025912344,46.63010025912344,42.768904427557274,-0.9053740198369846,False,False,False,-6.834484031894284e-05,-6.834484031894284e-05,-6.834484031894284e-05,-0.0066013648851541646,-0.0054819618764361455,False,False,False,0.0005035793263703737,0.0005035793263703737,0.0005035793263703737,-0.003943955592472722,0.002813329959547735,False,False,False,-0.002908465536788355,-0.002908465536788355,-0.002908465536788355,3.398363127014334e-05,0.00028816716863860263,False,False,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.05,False,False,False,False,False,,,,,False,0.0,False,0.03,False,False,False,False,False,,,,,False,0.0,False
