step,experiment_time_s,replay_horizon_steps,one_step_error_x,one_step_error_dx,one_step_error_theta,one_step_error_wb,replay_error_x,replay_error_dx,replay_error_theta,replay_error_wb,control_internal_0,control_internal_near_lower_0,control_internal_near_upper_0,control_internal_1,control_internal_near_lower_1,control_internal_near_upper_1,control_internal_2,control_internal_near_lower_2,control_internal_near_upper_2,control_internal_3,control_internal_near_lower_3,control_internal_near_upper_3
0,0.038978635,10,0.00027187586746261995,0.003885533625363556,7.977130887565515e-05,0.0020209721206658764,0.002792554886515856,0.02055715578078879,0.0009667409156091653,0.015420159450212537,-0.3555660973129865,False,False,-0.0069306009527614326,False,False,-0.006643655543824021,False,False,0.0015140973661598375,False,False
1,0.046081792,10,0.0001655582987043696,0.003071129552120007,6.554180202974623e-05,0.0025970784053900363,0.002558781019807675,0.018247378710013962,0.0007874838100636513,0.012469800021422093,-0.5928974827279481,False,False,-0.005768807721963925,False,False,-0.005537597563386891,False,False,0.001384826944739138,False,False
2,0.055608152,10,0.00015441719620434022,0.002428514783012032,7.073104453220527e-05,0.0010480624804437972,0.002507504987119568,0.01692419699040686,0.0005729628572448604,0.008024687314393548,-0.7331935048106075,False,False,-0.0036550243672430344,False,False,-0.0012439337793537257,False,False,0.0009925583434636297,False,False
3,0.062255218,10,0.000132113870359356,0.0021590220970971376,6.504766745442292e-05,0.001641175841417423,0.0023848584908027605,0.015915320447001037,0.0005591315985290599,0.008678826786795442,-0.8362760090474531,False,False,-0.003022756245968511,False,False,-0.0023334596420688278,False,False,0.0010140983229835422,False,False
4,0.06976995,10,0.000159171225888555,0.0018338286040837336,5.067035923513873e-05,0.0016367949752556965,0.0024774395680055893,0.01558881773242548,0.0004861980492375478,0.0050590200811212556,-0.8912140836408124,False,False,-0.0016157919479483408,False,False,-0.0006043219849311531,False,False,0.0007647867383557402,False,False
5,0.080014978,10,0.0006073942207699273,0.0020777682225756274,6.506775930434568e-05,0.0014465014779691256,0.002505073611586747,0.015414794625010839,0.0005523634364894277,0.006113028731610135,-0.9227077459429401,False,False,7.560489351682573e-05,False,False,-0.00193696651134564,False,False,0.0005455713149156738,False,False
6,0.093156111,10,0.0002866081553264341,0.0015352712731362894,5.6878921874578715e-05,0.0005215965045887594,0.002378443498286476,0.0146477628065459,0.0005420752221039656,0.00675459813610047,-0.956419298956401,False,False,-0.0028856696060439793,False,False,-0.00030936885453973246,False,False,0.0005496783309723236,False,False
7,0.102432558,10,0.00018455759736133503,0.0014989744229972374,5.233230778685928e-05,0.0013558948851213344,0.0024041939723553315,0.014734251743662618,0.0005435930564243188,0.007993287121803349,-0.9789138094933686,False,False,-0.0030239175719121913,False,False,1.0358176754849296e-05,False,False,0.000523050082043415,False,False
8,0.110941104,10,0.0001892337725836319,0.001533280180178664,5.8536491599062385e-05,0.0006692213262573028,0.002423100316635222,0.01511119565900507,0.0005113272376139915,0.006571782551598565,-0.9795476973932328,False,False,-0.0016854412006121837,False,False,0.0008171790409619918,False,False,0.00041204540842047294,False,False
9,0.119736053,10,0.0003716243411804259,0.0016510646491514436,3.5205314648728783e-05,0.0017332694159621072,0.0024330888019404363,0.015312937339459726,0.0004854771083173311,0.007225792298038372,-0.9813073705271343,False,False,-0.0015679209597280772,False,False,-0.00030165325998184983,False,False,0.0005901586909021289,False,False
10,0.129789713,10,0.00029080625707807975,0.001431004001080904,5.7040628119976986e-05,0.00044469713599776446,0.002390180515021679,0.0152888226648316,0.0005518971419112996,0.006816515877783003,-0.9843987667971609,False,False,-0.003977954547541772,False,False,0.003447988259065067,False,False,0.00037371644092659386,False,False
11,0.143593299,10,0.0002287419854690696,0.0015100880882349865,5.646305438912794e-05,0.002164996281486913,0.00243433431903942,0.015577086418075963,0.0005548067495413575,0.0070041448930833125,-0.9865009674097379,False,False,-0.004215539690925817,False,False,0.003825730165445503,False,False,0.0003489749514983875,False,False
12,0.151726428,10,0.0002897382593019723,0.0014626113200013836,6.443618024070363e-05,0.0004924118201975157,0.002451821981910978,0.015996094605725198,0.0006087909227023313,0.006779731635027793,-0.9808181166783891,False,False,-0.0022842667042711163,False,False,7.963493668504258e-05,False,False,0.00022995207138299563,False,False
13,0.16516314,10,0.0002784741711708626,0.0016600871470454867,6.47575125132475e-05,0.0021713288561849885,0.0025071473615544786,0.01630220517265555,0.0006328184713970479,0.007028180007590093,-0.9769694389595373,False,False,-0.0021143187421192194,False,False,-0.00031268026669833737,False,False,0.00022117958070385884,False,False
14,0.176860098,10,0.00017933160637536018,0.0014843561895181536,3.92667285520108e-05,0.003024836747935727,0.0024865972923545612,0.016300775077402904,0.0004766218928732179,0.008576053726460331,-0.9766741076204825,False,False,-0.004425707132314803,False,False,0.0024567694350299454,False,False,0.0008224684490242579,False,False
15,0.184168859,10,0.0001788116518666167,0.0015634380884081262,6.377855032091419e-05,0.0011788050813930657,0.002523416351865422,0.01689303176764557,0.0006383002336696373,0.0069055596858679635,-0.9663914651085784,False,False,-0.0027499514269789427,False,False,0.0009903769046143529,False,False,0.0002384482653446301,False,False
16,0.198260039,10,0.00017876571501829175,0.0016394882569860732,4.9392948139528326e-05,0.0020679127416240407,0.0025561054243350384,0.017271890530161704,0.0005417800941932303,0.006994899370481932,-0.9511033004622818,False,False,-0.0019718898030643955,False,False,0.0006671945950228474,False,False,0.0005263897990798052,False,False
17,0.207611171,10,0.0001789398662871263,0.001738517097148229,5.9891431968148805e-05,0.0005437006478761515,0.0025869982607000424,0.017476686460799962,0.0006426560997179024,0.005071669493663384,-0.9371676632554103,False,False,-0.0027678622136975755,False,False,0.0035449509911330696,False,False,8.813025356927395e-05,False,False
18,0.215911965,10,0.00019395788460666697,0.0017771238444336493,6.227897953780196e-05,0.0006178099174744355,0.0026416428711226445,0.017565742751231288,0.0006595634768705334,0.0067908265046767256,-0.9295121991532957,False,False,-0.003257625079201502,False,False,0.0033627601337112307,False,False,3.295745170052144e-05,False,False
19,0.229017888,10,0.0002267513844028273,0.0018113805058496669,5.9772743880480566e-05,0.0009364911419540622,0.002671847842763389,0.017611490771221892,0.0005721324838000587,0.007525691457353545,-0.9226017443535126,False,False,-0.0038005052366228997,False,False,0.0038490552924734,False,False,0.00028753327051875104,False,False
20,0.235845937,10,0.0001868540045114582,0.0017647135297453613,5.9304288180447536e-05,0.000598470056043673,0.002717028234983337,0.01760619357856015,0.0006254062144376727,0.008316077473332713,-0.9197205710827137,False,False,-0.004202871098443334,False,False,0.0029965293178226067,False,False,0.00020577462466375324,False,False
21,0.248467469,10,0.0002055854753905625,0.0017199855051683631,6.315929697411511e-05,0.001452271818243738,0.0027689252292026887,0.01772327795727605,0.0006564191982593577,0.007677061555173899,-0.918297406204376,False,False,-0.00477177216554902,False,False,0.003513553375040505,False,False,0.00011938413046614094,False,False
22,0.263039897,10,0.00020487000229722175,0.0017931518218488511,6.279305285968452e-05,0.00018754056590158304,0.002889887021554007,0.018065178007257602,0.0005592196767338294,0.007031268080676822,-0.9059121873137569,False,False,-0.003458341293981853,False,False,0.002820175664241355,False,False,0.00036138321935130427,False,False
23,0.277232676,10,0.0002230362773632368,0.001896195050601442,5.8131489213459344e-05,0.0013659116694331522,0.0029529331971821743,0.018168491181838557,0.0005210078366509009,0.008159290976872862,-0.8994812443940513,False,False,-0.004213661751298872,False,False,0.0037660736918213923,False,False,0.000462517363462312,False,False
